"source","ar"
"Complete Order","إتمام الدفع و الترحيل"
"Payment Method","وسيلة الدفع"
"Subtotal","المجموع الجزئي"
"Discount","الخصم"
"Grand Total","المجموع الكلي"
"Clear Cart","تفريغ السلة"
"Open Drawer","فتح الدرج"
"New Invoice","فاتورة جديدة"
"Suspended Invoices","فواتير معلقة"
"Search by barcode or name...","بحث بالباركود أو اسم المنتج..."
"Select Customer...","تحديد العميل..."
"Cart is empty","السلة فارغة"
"Item added to cart","أُضيف للسلة"
"Invoice suspended successfully","تم تعليق الفاتورة بنجاح"
"Invoice restored","تم استعادة الفاتورة"
"No suspended invoices","لا توجد فواتير معلقة"
"Confirm and Submit","تأكيد وترحيل"
"Cancel","إلغاء"
"Loading...","جارٍ التحميل..."
"Load More...","تحميل المزيد..."
"No products found","لا توجد منتجات مطابقة"
"Amount Paid","المبلغ المدفوع"
"Change","الباقي / الزيادة"
"Sale completed successfully","تم إتمام البيع بنجاح"
"Invoice Number","رقم الفاتورة"
"Print Receipt","طباعة الإيصال"
"Close","إغلاق"
"Open POS Session","فتح جلسة POS"
"Company","الشركة"
"Opening Balance Details","تفاصيل الرصيد الافتتاحي"
"Mode of Payment","وسيلة الدفع"
"Opening Amount","المبلغ الافتتاحي"
"Open Session","فتح الجلسة"
"Please select POS Profile","يرجى اختيار POS Profile"
"Select UOM","اختر وحدة القياس"
"Add to Cart","إضافة للسلة"
"Remove","حذف"
"Stock","المخزون"
"Total","الإجمالي"
"Item","الصنف"
"Quantity","الكمية"
"Price","السعر"
"Thank you for shopping with us","شكراً لتسوقكم معنا"
"Submitting...","جارٍ الترحيل..."
"Checking session...","جارٍ التحقق من الجلسة..."
"Loading POS settings...","جارٍ تحميل إعدادات POS..."
"Saving invoice...","جارٍ حفظ الفاتورة..."
"Submitting invoice...","جارٍ ترحيل الفاتورة..."
"Connection error","تعذّر الاتصال"
"Insufficient amount","مبلغ غير كافٍ"
